word or phrase,translation
赤身,"red flesh (of a fish), red-fleshed fish (e.g. tuna), lean meat, heartwood"
明かり,"light, illumination, glow, gleam, lamp, light"
明るい,"light, well-lit, well-lighted, bright (of a colour), brightly-coloured, brightly-colored, cheerful, bright, spirited, sunny (e.g. disposition), encouraging (for the future of a project, etc.), promising, of fair prospects, familiar (with), knowledgeable (about), well versed (in), fair (e.g. politics), clean, impartial"
赤ん坊,"baby, infant"
上がったり,"doomed (business, trade, etc.), in a bad state, poor"
上がり,"rise, increase, ascent, income, takings, earnings, proceeds, (crop) yield, return, profit, completion, end, finish, end result (e.g. of crafts), how something comes out, finish, finishing (in a board or card game, etc.), green tea (esp. in a sushi restaurant), after (rain, illness, etc.), ex- (e.g. ex-bureaucrat), former"
上がる,"to rise, to go up, to come up, to ascend, to be raised, to enter (esp. from outdoors), to come in, to go in, to enter (a school), to advance to the next grade, to get out (of water), to come ashore, to increase, to improve, to make progress, to be promoted, to advance, to be made (of profit, etc.), to occur (esp. of a favourable result), to be adequate (to cover expenses, etc.), to be finished, to be done, to be over, (of rain) to stop, to lift, to stop (working properly), to cut out, to give out, to die, to win (in a card game, etc.), to be arrested, to turn up (of evidence, etc.), to be deep fried, to be spoken loudly, to get nervous, to get stage fright, to be offered (to the gods, etc.), to go, to visit, to eat, to drink, to be listed (as a candidate), to serve (in ones masters home), to go north, to be complete, to finish"
秋,"autumn, fall"
空き,"space, room, gap, emptiness, vacancy, opening, empty seat, free time, time to spare, disuse, unused thing"
飽き,"weariness, boredom, tedium, tiresomeness"
安芸,Aki (former province located in the west of present-day Hiroshima Prefecture)
秋風,"autumn breeze, fall breeze"
空き缶,empty can
秋口,"beginning of autumn, beginning of fall"
秋雨前線,"autumn rain front, fall rain front"
空き巣,"empty nest, empty house, empty home, burglary (of an empty house), burglar (who targets empty houses), sneak thief, prowler"
空き地,"vacant land, unoccupied ground, empty lot, empty point"
商い,"trade, business, trading, dealing, turnover, sales, takings"
秋晴れ,clear autumnal weather
空き瓶,empty bottle
秋祭り,"autumn festival, fall festival"
空き家,"vacant house, unoccupied house"
明らか,"clear, obvious, evident, plain, definite, bright, light"
諦める,"to give up, to abandon (hope, plans), to resign oneself (to)"
飽きる,"to get tired of, to lose interest in, to be fed up with, to have enough"
呆れる,"to be amazed, to be shocked, to be astonished, to be astounded, to be disgusted, to be exasperated, to be fed up"
開く,"to open (e.g. doors), to open (e.g. business, etc.), to be empty, to be vacant, to be available, to be free, to be open (e.g. neckline, etc.), to have been opened (of ones eyes, mouth, etc.), to come to an end, to open (ones eyes, mouth, etc.), to have a hole, to form a gap, to have an interval (between events)"
悪,"evil, wickedness, (role of) the villain (in theatre, etc.), the bad guy"
悪意,"ill will, spite, evil intention, malice, bad meaning, mala fides, bad faith, criminal intent to deceive, malice"
悪影響,"bad influence, negative influence"
悪質,"malicious, vicious, malignant, underhanded, shoddy, inferior, poor-quality, second-rate"
握手,"handshake, reconciliation, joining hands, cooperation"
悪習,"bad habit, bad custom, evil practice, vice"
悪臭,"stink, bad odor, bad odour, stench"
悪事,"evil deed, wrongdoing, crime, vice, misfortune, calamity"
悪循環,"vicious circle, vicious cycle"
悪女,"wicked woman, ugly woman"
悪条件,"unfavorable conditions, unfavourable conditions"
悪性,"malignant (cancer), virulent, pernicious (anemia, anaemia)"
悪政,"misgovernment, misrule, bad government"
悪戦苦闘,"hard fighting, hard struggle, fighting against heavy odds"
悪態,abusive language
悪玉,"bad character, bad person, villain, baddie"
悪天候,bad weather
悪党,"scoundrel, rascal, villain"
悪徳,"vice, immorality, corruption"
悪童,"bad boy, naughty child, brat"
悪人,"bad person, villain, scoundrel, wrongdoer, wicked person"
悪評,"bad reputation, infamy, ill repute, unfavorable criticism, unfavourable criticism"
欠伸,"yawn, yawning, kanji yawning radical (radical 76)"
悪弊,"corrupt practice, evil practice, bad custom, abuse, evil ways"
悪法,"bad law, evil ways, evil way of doing things"
悪魔,"devil, demon, fiend, Satan, the Devil, Māra, evil spirits or forces that hinder ones path to enlightenment"
飽くまでも,"to the last, persistency, thoroughness"
悪夢,"nightmare, bad dream"
悪名高い,"infamous, notorious"
悪役,"villain, baddie, the villains part"
悪用,"abuse, misuse, perversion"
悪霊,evil spirit
握力,"grip (of hand), grip strength"
明くる,"next (day, morning, etc.), following"
あくる日,"next day, following day"
悪路,bad road
胡座,sitting cross-legged (i.e. Indian style)
朱,"scarlet, red"
明け方,dawn
明け暮れ,"morning and evening, daily routine, to spend all ones time doing, to do day in, day out, all the time, always, constantly, day and night"
曙,"dawn, daybreak, beginning"
明けましておめでとうございます,Happy New Year
開ける,"to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock, to open (for business, etc.), to empty, to remove, to make space, to make room, to move out, to clear out, to be away from (e.g. ones house), to leave (temporarily), to dawn, to grow light, to end (of a period, season), to begin (of the New Year), to leave (ones schedule) open, to make time (for), to make (a hole), to open up (a hole)"
明け渡す,"to vacate, to surrender (e.g. a castle), to give up (e.g. a position), to hand over (e.g. power)"
揚げ,"frying, fried food, aburaage, thin deep-fried slices of tofu"
上げ,"tuck (e.g. in a dress), rise (e.g. in price)"
上げ下ろし,"raising and lowering, loading and unloading"
挙句,"after (a long process), at the end of, last line (of a renga)"
上げ下げ,"raising and lowering, fluctuation (of prices, interest rates, etc.), praising and belittling, setting out (meals, etc.) and clearing away, ebb and flow (of the tide), rising and falling (pitch, tone, etc.), modulation"
上げ潮,"rising tide, incoming tide, flood tide, surge (in popularity, power, etc.), upswing"
揚げ物,deep-fried food
上げる,"to raise, to elevate, to do up (ones hair), to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.), to land (a boat), to deep-fry, to show someone (into a room), to give, to send someone (away), to enrol (ones child in school), to enroll, to increase (price, quality, status, etc.), to develop (talent, skill), to improve, to make (a loud sound), to raise (ones voice), to earn (something desirable), to praise, to give (an example, etc.), to cite, to summon up (all of ones energy, etc.), to arrest, to nominate, to summon (for geishas, etc.), to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.), to bear (a child), to conduct (a ceremony, esp. a wedding), (of the tide) to come in, to vomit, to do for (the sake of someone else), to complete ..., to humbly do ..."
憧れ,"yearning, longing, aspiration, adoration, admiration"
憧れの的,"object of adoration, longing"
憧れる,"to long for, to yearn after, to admire, to be attracted by"
顎,"jaw, chin, barb (of a fishhook)"
朝,"morning, breakfast"
麻,"cannabis (Cannabis sativa), hemp (plant), hemp (fiber), linen, flax, jute"
浅い,"shallow, superficial, slight (wound), light (sleep), pale (colour), inadequate (knowledge), short (time), early, young"
朝市,morning market
朝一番,first thing in the morning
朝帰り,coming home in the morning (after staying out all night)
朝顔,"Japanese morning glory (Ipomoea nil), picotee morning glory, ivy morning glory, funnel-shaped object, bell (e.g. of a trumpet), funnel-shaped urinal, rose of Sharon (Hibiscus syriacus)"
朝駆け,early-morning attack
朝方,"early morning, early hours, early in the morning"
朝霧,"morning fog, morning mist"
浅黒い,"dark (skin, complexion, etc.), swarthy, tanned"
朝ご飯,breakfast
浅瀬,"shoal, shallows, sand bar, ford"
明後日,"day after tomorrow, wrong (e.g. direction)"
麻布,"hemp cloth, linen"
朝寝坊,"sleeping late in the morning, sleeping in, lie-in, oversleeping, late riser, person who is bad at getting up in the morning"
浅はか,"shallow, superficial, thoughtless, short-sighted, foolish, silly"
朝晩,"morning and evening, all the time, always, every day, day and night"
朝日,morning sun
朝飯,breakfast
朝焼け,"morning glow, sunrise colors, sunrise colours"
朝夕,"morning and evening, from morning until night, constantly"
漁る,"to fish, to look for, to search for, to hunt for, to scavenge, to scrounge, to look through, to rummage through, to go on a spree (spending, reading, etc.), to binge"
痣,"birthmark, nevus, bruise"
字,section of village
嘲る,"to scoff, to laugh at, to make fun of, to ridicule, to jeer at"
欺く,"to deceive, to delude, to trick, to fool, to be as ... as ... (e.g. as bright as day, as beautiful as a rose)"
鮮やか,"vivid, bright, brilliant, clear, fresh, vibrant, skillful, skilful, adroit, brilliant (performance, goal, etc.), splendid, superb, magnificent, fine"
葦,common reed (Phragmites australis)
足,"foot, paw, arm (of an octopus, squid, etc.), leg, gait, pace, bottom structural component (i.e. radical) of a kanji, means of transportation, (ones) ride, money, coin"
足跡,"footprints, record of page visitors (e.g. in social networking sites)"
足音,"sound of footsteps, sense or sign that something is approaching"
足掛け,"leg trip (in sumo, judo, etc.), foothold, pedal, indicates a consecutive period of time incl. incomplete days, etc. at the ends"
悪しからず,"dont get me wrong, but ..., Im sorry"
足がかり,"foothold, footing, toehold, stepping stone"
足首,ankle
足腰,legs and loins
足ずり,"stamping ones feet (in anger, frustration, etc.), scuffing the ground"
明日,"tomorrow, near future"
足手まとい,"impediment, burden, encumbrance, hindrance, drag"
足止め,"preventing (someone) from leaving, confinement, keeping indoors, inducement to stay, being stranded, grounding, level dyeing"
足取り,"gait, walk, stride, pace, step, manner of walking, trace (e.g. of route taken by hunted criminal), track, trail, movements"
足並み,"pace, step"
足場,"scaffold, scaffolding, foothold, footing, foothold (e.g. in business), foundation, base, convenience for transportation, convenience of access (by road or rail)"
足早,"fast (walking), quick, brisk, quick (passing of time), rapid, swift"
足踏み,"stepping (in place), stamping (up and down), stomping, marking time (for a soldier), standstill, stalemate"
足元,"at ones feet, underfoot, ones step (as in watch your step), gait, pace, step, most recent, current"
亜種,subspecies
鯵,"horse mackerel (Carangidae spp., esp. the Japanese horse mackerel, Trachurus japonicus), jack mackerel, pompano, scad"
味,"flavor, flavour, taste, charm, appeal, uniqueness, attractiveness, experience, taste (e.g. of victory), smart, clever, witty, strange"
味気ない,"wearisome, insipid, dull, irksome, wretched, vain"
味付け,"seasoning, flavour, flavor"
味の素,"Ajinomoto, brand name of monosodium glutamate (MSG)"
味わい,"flavour, flavor, taste, charm, appeal, interest, meaning, significance"
味わう,"to taste, to savor, to savour, to relish, to appreciate, to enjoy, to relish, to digest, to experience, to go through, to taste (e.g. victory), to know (e.g. pain)"
預かり,"under custody, under supervision, undecided match, draw, tie"
預り証,"claim check, baggage check, luggage check, deposit receipt"
預かり所,"cloakroom, parcel room"
預かる,"to look after, to take care of, to keep, to hold on to, to keep in custody, to be put in charge of, to be given responsibility for, to be entrusted with, to withhold (an announcement), to reserve (judgment), to leave undecided, to take upon oneself (to do), to settle (a matter) oneself"
小豆,adzuki bean (Vigna angularis)
預け,"custody, keeping, checking-in (e.g. bags)"
預け入れる,to make a deposit
預ける,"to leave (in someones keeping), to put (in someones care), to place (in someones custody), to entrust (someone) with, to deposit, to put (someone) in charge of, to leave (a matter) in someones hands, to let (someone) decide, to lean on, to put ones weight on"
梓,"Japanese cherry birch (Betula grossa), yellow catalpa (Catalpa ovata), Japanese mallotus (Mallotus japonicus), printing block, catalpa bow, catalpa medium"
汗,"sweat, perspiration, moisture, condensation, gulp, oops"
汗だく,"dripping with sweat, bathed in perspiration"
汗ばむ,to be sweaty
汗水,profuse sweat
焦り,impatience
焦る,"to be in a hurry, to be impatient, to be anxious (to do), to fret, to get a fright, to panic, to get flustered, to be startled"
褪せる,"to fade, to discolor, to discolour, to diminish, to fade (e.g. of a memory)"
畦,"ridge of earth between rice fields, ridge between grooves in threshold or lintel, footpath between rice fields, causeway"
彼処,"there, over there, that place, yonder, you-know-where, genitals, private parts, nether regions, that far, that much, that point"
遊ばす,"to let (someone) play, to keep (someone) amused, to entertain, to leave idle, to not make use of, to let go to waste, to do, to do"
遊び,"play, playing, game, pleasure, amusement, pastime, recreation, diversion, play (in a mechanism, e.g. a steering wheel), flexibility (in a performance, art, etc.), freedom, flyleaf"
遊び相手,"playmate, playfellow"
遊び場,playground
遊ぶ,"to play (games, sports), to enjoy oneself, to have a good time, to mess about (with alcohol, gambling, philandery, etc.), to be idle, to do nothing, to be unused, to meet up (with friends), to hang out, to give oneself up (to gambling, drinking, etc.), to go to (for pleasure or for study), to tease (someone), to play (with), to intentionally throw a ball to lower the batters concentration"
値,"price, cost, value, worth, merit, value"
値する,"to be worth, to be worthy of, to deserve, to merit"
与え,"gift, godsend"
与える,"to give (esp. to someone of lower status), to bestow, to grant, to confer, to present, to award, to provide, to afford, to offer, to supply, to assign, to cause, to pass (a variable to a function)"
恰も,"as if, as it were, as though, right then, just then, at that moment"
私,"I, me"
暖かい,"warm, mild, (pleasantly) hot, considerate, kind, genial, warm (of a colour), mellow, having enough money"
温まる,"to warm oneself, to sun oneself, to warm up, to get warm"
温める,"to warm (up), to heat (up), to sit on (an idea, plan, etc.), to keep to oneself, to nurse, to mull over, to renew (an old friendship), to take for oneself"
頭,"head, hair (on ones head), mind, brains, intellect, leader, chief, boss, captain, top, tip, beginning, start, head, person, down payment, deposit, top structural component of a kanji, pair"
頭打ち,"reaching a peak, reaching the limit, plateauing, maxing out"
頭数,"number of persons, numerical strength, head count"
頭金,"down payment, deposit"
新しい,"new, novel, fresh, recent, latest, up-to-date, modern"
辺り,"(in the) neighbourhood, neighborhood, vicinity, nearby, surroundings, around, about, or thereabouts, for instance, say, such as"
当たり,"hit, success, guess, prediction, affability, friendliness, sensation, touch, bruise (on fruit), situation in which a stone or chain of stones may be captured on the next move, bite (of a fish on a hook), strike, per, each"
当たり年,"good year, lucky year, bumper year, banner year"
当たり前,"natural, reasonable, obvious, usual, common, ordinary, commonplace, the norm"
当たり役,successful role
当たる,"to be hit, to strike, to touch, to be in contact, to be affixed, to be equivalent to, to be applicable, to apply to, to be right on the money (of a prediction, criticism, etc.), to be selected (in a lottery, etc.), to win, to be successful, to go well, to be a hit, to face, to confront, to lie (in the direction of), to undertake, to be assigned, to be stricken (by food poisoning, heat, etc.), to be afflicted, to be called on (e.g. by a teacher), to treat (esp. harshly), to lash out at, to be unnecessary, to be hitting well, to be on a hitting streak, to feel a bite (in fishing), (of fruit, etc.) to be bruised, to spoil, to feel (something) out, to probe into, to check (i.e. by comparison), to shave, to be a relative of a person, to be a ... in relation to ..., to stand in a relationship"
徒,"vain, futile, transient, frivolous"
仇,"foe, enemy, rival, resentment, enmity, grudge, harm, injury"
仇討ち,"vengeance, revenge, retaliation"
あだ名,nickname
彼方此方,"here and there, various places, all around, all over, everywhere, throughout, muddled, confused, in the wrong order, back to front"
彼方,"that way, that direction, over there, yonder, that (one), that person, there, over there, foreign country (esp. a Western nation)"
あっ,"ah, oh, hey!"
悪化,"deterioration, getting worse, worsening, aggravation, degeneration, corruption"
圧巻,"highlight, best part, stunning, incredible, superb"
呆気,"being taken aback, state of shock, dumbfoundedness"
圧殺,"crushing to death, crushing (hope, freedom, etc.), suppression, quashing, stifling"
あっさり,"easily, readily, quickly, flatly (refuse), lightly (seasoned food, applied make-up, etc.), plainly, simply"
圧死,"death by crushing, being crushed to death"
圧縮,"compression, condensing, shortening, summarizing, compression (of data)"
圧縮空気,compressed air
圧勝,"overwhelming victory, crushing victory, sweeping victory, landslide victory"
圧政,"oppressive rule, tyrannical regime, despotism"
斡旋,"good offices, kind offices, services, influence, recommendation, mediation, intercession, conciliation, acting as a go-between"
有って無い,"lacking in some desired property (size, usefulness, etc.)"
あっての,"which can exist solely due to the presence of, whose existence is determined entirely by, which owes everything to"
あっという間,"an instant, a split second, no time at all, time of an ah!"
あっという間に,"in an instant, in a flash, in the blink of an eye, in no time at all, just like that"
圧倒,"to overwhelm (e.g. an opponent), to overpower, to crush, to defeat completely, to overwhelm (someone with emotion), to move, to impress, to fill with emotion, to intimidate, to frighten, to threaten"
圧倒的,overwhelming
圧迫,"pressure, oppression, suppression"
熱々,"piping hot, scalding, madly in love, passionately in love"
熱い,"hot (to the touch), passionate (feelings, etc.), ardent, hot (e.g. gaze), hot (e.g. temper), zealous, enthusiastic, fired up, intense, severe, extreme, hot (topic), of interest"
暑い,"hot, warm, sultry, heated, passionate, impassioned, burning (desire, etc.), on everybodys mind, on the radar, du jour, interested (gaze, etc.)"
厚い,"thick, deep, heavy, kind, cordial, hospitable, warm, faithful, serious (of an illness), abundant"
厚板,"plank, thick board, plate glass, heavy metal sheet (esp. welding), heavy brocaded obi"
圧延,"rolling, extending by applying pressure"
扱い,"treatment, service, dealing (with), handling, management, handling (of a machine, tool, etc.), operation, use, treating as, treating like"
扱い方,"how to manage (e.g. case), how to handle (e.g. machine), way with (e.g. children, animal)"
扱う,"to deal with (a person), to treat, to handle, to take care of, to entertain, to deal with (a problem), to handle, to manage, to operate (e.g. a machine), to handle, to work, to deal in, to sell, to cover (a topic), to treat, to discuss, to take up, to treat A as B, to mediate (an argument), to be too much for one, to find unmanageable, to gossip"
厚かましい,"impudent, shameless, brazen, cheeky, presumptuous"
厚紙,"cardboard, thick paper"
厚着,"wearing thick clothes, dressing warmly"
厚化粧,"thick makeup, heavy makeup"
厚さ,thickness
暑さ,"heat (of the weather), hotness"
厚手,"thick (paper, cloth, etc.), heavy"
集まり,"gathering, meeting, assembly, collection, attendance"
集まる,"to gather, to collect, to assemble"
厚み,"thickness, profundity, depth"
集める,"to collect, to assemble, to gather"
圧力,"pressure, stress, pressure (e.g. political), coercion, arm-twisting"
圧力団体,"pressure group, lobby"
当て,"aim, object, purpose, end, expectations, prospects, hopes, something that can be relied upon, snack served with alcoholic drink, pad, guard, blow, strike, addressed to, per"
当て込む,"to count on, to anticipate, to expect"
宛先,"address, destination"
宛名,"name and address (on an envelope, etc.), (addressees) name, addressee"
当てはまる,"to apply (of a rule), to be applicable (of standards, lessons, ideas, etc.), to hold true (e.g. of a description), to fit, to be suitable (e.g. of a word), to meet (requirements), to fulfill (conditions), to come under (a heading)"
当てはめる,"to apply, to adapt"
充てる,"to assign, to set aside"
当てる,"to hit, to expose, to apply (e.g. patch), to put on, to put against, to hold on, to hold against, to allot, to call on someone (e.g. in class), to guess (an answer), to make a hit (e.g. in a lottery)"
後,"behind, rear, after, later, remainder, the rest, more (e.g. five more minutes), left, also, in addition, descendant, successor, heir, after ones death, past, previous"
跡,"trace, tracks, mark, sign, site, remains, ruins, scar"
後味,aftertaste
後々,"future, distant future"
後追い,"trailing, chasing after, imitation, copy"
後押し,"pushing, backing, boosting, supporting, pushing from behind (a cart, etc.), pusher"
跡形,"trace, vestige, evidence"
後片付け,"tidying up, clearing up, cleaning up, clearing away, putting in order"
後から,"after, later"
後書き,"afterword, postscript"
後始末,"settlement (of a matter), sorting out, winding up (affairs), dealing with the aftermath, cleaning up afterwards, tidying up (when finished)"
後ずさり,"stepping back, drawing back"
跡継ぎ,"heir, inheritor, successor"
跡取り,"heir, heiress, inheritor, successor"
後の祭り,"a day after the fair, (at a) stage when its too late"
後払い,deferred payment
後回し,"putting off, postponing"
跡目,"headship of a family, family property"
後戻り,"going backward, turning back, backtracking, doubling back, retrogression, relapse, returning to a bad state"
穴,"hole, opening, orifice, perforation, pit, hollow, cavity, hole (e.g. in the ground), burrow, den, lair, holt, hole, deficit, shortage, (financial) hole, loss, gap (left by a missing employee, team member, etc.), vacancy, opening, flaw, fault, defect, weak point, hole (in a theory, plan, etc.), loophole, good place not many people know about, well-kept secret, upset victory (with a large payoff), long shot, dark horse, (partitioned) box (type of floor seating in a traditional Japanese theatre), hiding place, hideout"
穴埋め,"filling (up) a hole, filling in (for a gap, vacancy, etc.), stopgap, filler (e.g. article), making up (for a loss, damage, etc.), covering (a deficit), compensation, cloze deletion (test format)"
強ち,"(not) necessarily, (not) entirely, (not) altogether"
穴熊,"badger, Eurasian badger (Meles meles), defensive opening for shogi"
貴方,"you, dear, honey"
あなた方,you (plural)
侮る,"to disdain, to look down on, to make light of, to hold in contempt, to scorn, to despise"
穴場,"good place not many people know about, great little-known spot, good out-of-the-way place, well-kept secret, hidden gem of a place, betting booth (at a racecourse)"
兄,"older brother, elder brother"
兄貴,"elder brother, ones senior, older man, man older than oneself"
兄弟子,"senior pupil (of the same master), senior disciple, senior student, senior member"
姉,"older sister, elder sister"
亜熱帯,subtropics
あの,"say, well, um, er"
彼の,"that, those, the"
あの方,"that gentleman, that lady, he, she"
あのね,"look here, I say, well, I know what, Ill tell you what, just a minute, hold on"
あの人,"he, she, that person, you"
あの世,"the other world, the next world, the world beyond, world after death"
暴れる,"to act violently, to rage, to struggle, to be riotous"
暴れん坊,"rambunctious kid, wild kid, hooligan, rowdy, roughneck, a rough"
家鴨,domestic duck
浴びせる,to pour on
浴びる,"to dash over oneself (e.g. water), to take (e.g. shower), to bask in (e.g. the sun), to bathe in, to be flooded with (e.g. light), to be covered in, to suffer (e.g. an attack), to draw (e.g. criticism, attention, praise), to have heaped upon, to be showered with"
溢れる,"to overflow, to brim over, to flood"
危ない,"dangerous, risky, hazardous, perilous, precarious, in danger, in jeopardy, critical, grave, at risk, uncertain, unreliable, insecure, unsteady, doubtful, close (call), narrow (escape), look out!, watch out!, be careful!"
危なげない,"safe, certain"
危なっかしい,"dangerous, critical, grave, uncertain, unreliable, dodgy, limping, narrow, close"
脂,"fat, tallow, lard, grease"
油,oil
油揚げ,"aburaage, thin deep-fried slices of tofu, frying in oil, deep-fried food"
油絵,oil painting
油絵の具,"oil paints, oil colors (colours), oils"
脂っこい,"greasy, fatty, oily"
