"Level","#","Label","Definition","Correct","Attempts","Score %","Part of Speech","Gender"
1,1,"Le dialogue","The dialogue",,,,,
1,2,"Observer","To observe, watch; to note, notice (O…)",,,,,
1,3,"Le dessin","Drawing; design (pattern) (De…)",,,,,
1,4,"Identifier","To identify; to log on (I…)",,,,,
1,5,"Réécouter","To listen again (Ré…)",,,,,
1,6,"Compléter","To complete (C…)",,,,,
1,7,"Saluer","To greet; to wave to (as a greeting); (military, nautical) to salute",,,,,
1,8,"Demain","Tomorrow (Adv)",,,,,
1,9,"L'heure","Hour (Fem)",,,,,
1,10,"Le monde","The world; people",,,,,
1,11,"La salle","The hall; room (in a house) (S...)",,,,,
1,12,"La chambre","The bedroom, any room (C...)",,,,,
1,13,"La pièce","Room; piece; (money) coin (P...)",,,,,
1,14,"La salle de classe","The classroom",,,,,
1,15,"L'accueil","Reception, hospitality; acceptance; (computing) home page (of a website) (Ac…)",,,,,
1,16,"L'escalier","The step, stair; staircase (Es...)",,,,,
1,17,"L'université","The university (institution of higher education)",,,,,
1,18,"Le couloir","Corridor; aisle (in an airliner) (Co…)",,,,,
1,19,"Jeune","Young (Adj)",,,,,
1,20,"La fille","Girl; daughter",,,,,
1,21,"L'homme","Man",,,,,
1,22,"Le matin","Morning",,,,,
1,23,"Le soir","Evening",,,,,
1,24,"L'après-midi","Afternoon (Both masculine and feminine)",,,,,
1,25,"Écouter","(intransitive) to listen; (transitive) to listen to",,,,,
1,26,"Associer","To associate",,,,,
1,27,"La personne","Person; (with ne) no one, nobody",,,,,
1,28,"Arriver","To arrive; to happen; to manage to",,,,,
1,29,"Prendre","To take; to eat / drink (P…)",,,,,
1,30,"Le jour de congé
un jour de congé
jour de congé","Day off",,,,"phrase","masc"
1,31,"Relever","To raise (Rel...)
raise",,,,"verb",
1,32,"Indiquer","To indicate
indicate",,,,"verb",
1,33,"Combien de fois?","How many times?",,,,,
1,34,"Nouveau
nouvelle","New (Adj)",,,,"adjective",
1,35,"Le mot
mot
un mot","Word",,,,"noun","masc"
1,36,"Identique","Identical (Adj)",,,,"adjective",
1,37,"Différencier","To differentiate
differentiate",,,,"verb",
1,38,"La différence
une différence
différence","Difference",,,,"noun","fem"
1,39,"Différent
différente","Different (Adj)",,,,"adjective",
1,40,"La fois
une fois
fois","Time, instance, a repition",,,,"noun","fem"
1,41,"Répondre","To answer
answer
to reply
reply",,,,"verb",
1,42,"Le son
un son
son","Sound",,,,"noun","masc"
1,43,"Puis","And (Conjunction); Then (Adv) (P...)",,,,,
1,44,"Lire","To read; (reflexive, se lire) to be read
read",,,,"verb",
1,45,"La voix
une voix
voix","Voice; (linguistics) grammatical voice",,,,"noun","fem"
1,46,"La voix passive","The passive voice",,,,,
1,47,"La voix active","The active voice",,,,,
1,48,"Haut
haute","High (Adj)",,,,"adjective",
1,49,"Russe","Russian (Noun, Adj, and language)",,,,"adjective",
1,50,"Étudier","To study
study",,,,"verb",
1,51,"L'étudiant
un étudiant
étudiant","Student",,,,"noun","masc"
1,52,"L'étudiante
un étudiant
étudiant","Student (Feminine)",,,,"noun","fem"
1,53,"La situation
une situation
situation","Situation",,,,"noun","fem"
1,54,"Le congé
un congé
congé","Leave, holiday (time off, absence from work, etc.)
vacacion",,,,"noun","masc"
1,55,"Le signe
un signe
signe","Sign",,,,"noun","masc"
1,56,"Le miroir
un miroir
miroir","Mirror",,,,"noun","masc"
1,57,"Sembler","To seem, to appear to be
seem
appear to be
to look
look",,,,"verb",
1,58,"La coccinelle","Ladybird (lady-bird), ladybeetle (lady beetle), ladybug (lady-bug) (C…)",,,,,
1,59,"La solution
une solution
solution","Solution (to a problem)",,,,"adverb","fem"
1,60,"L'embouteillage","Traffic jam",,,,"noun","masc"
1,61,"La raison
raison
une raison","Reason",,,,"noun","fem"
2,1,"Épeler","To spell (É…)",,,,,
2,2,"Le prénom","First name, given name (Pr…)",,,,,
2,3,"La carotte
une carotte
carotte","Carrot",,,,"noun","fem"
2,4,"La faculté","Department (of a university); (by extension) a university (Fa…)",,,,,
2,5,"La fac","(informal, France) university (like faks)",,,,,
2,6,"Le cinéma
un cinéma
cinéma","Cinema (The art of making movies, the movie industry, or a movie theatre) (C...)",,,,"noun","masc"
2,7,"Célèbre","Famous (Adj) (C…)",,,,,
2,8,"La leçon
une leçon
leçon","Lesson",,,,"noun","fem"
2,9,"Le garçon
garçon
un garçon","Boy; waiter
boy",,,,"noun","masc"
2,10,"Le chocolat
un chocolat
chocolat","Chocolate",,,,"noun","masc"
2,11,"L'été
un été
été","Summer",,,,"noun","masc"
2,12,"Le frère
un frère
frère","Brother",,,,"noun","masc"
2,13,"La tête
une tête
tête","Head",,,,"noun","fem"
2,14,"La fête
une fête
fête","Celebration, party; holiday
party",,,,"noun","fem"
2,15,"La fenêtre
fenêtre
une fenêtre","Window",,,,"noun","fem"
2,16,"La gare
une gare
gare","Train station",,,,"noun","fem"
2,17,"La gomme
une gomme","Rubber, eraser",,,,"noun","fem"
2,18,"La lagune","Lagoon, shallow body of coastal water (La…)",,,,,
2,19,"Le légume
un légume
légume","Vegetable",,,,"noun","masc"
2,20,"Le griot","Griot (African storyteller); (by extension, derogatory) Someone who tells stories to gullible people (Gr…)",,,,,
2,21,"Le gilet
un gilet
gilet","Sweater, waistcoat, sleeveless jacket",,,,"noun","masc"
2,22,"La génération
une génération
génération","Generation",,,,"noun","fem"
2,23,"La gymnastique","(sports) gymnastics; (school) PE, physical education",,,,,
2,24,"Le champagne
un champagne
champagne","Champagne",,,,"noun","masc"
2,25,"L'hôpital
un hôpital
hôpital","Hospital",,,,"noun","masc"
2,26,"La compréhension
une compréhension
compréhension","Comprehension, understanding (Co...)",,,,"noun","fem"
2,27,"La question
une question
question","Question",,,,"noun","fem"
2,28,"Le cube","Cube (all senses); third grader (Cu…)",,,,,
2,29,"Le loup","Wolf; flaw (Lo…)",,,,,
2,30,"L'aurore
aurore","Dawn, daybreak",,,,"noun","fem"
2,31,"Le lait
un lait
lait","Milk",,,,"noun","masc"
2,32,"Le lait chocolaté
chocolat au lait","Chocolate milk",,,,"noun","masc"
2,33,"Le droit
droit","Right; law (study of law)",,,,"noun","masc"
2,34,"La loi
une loi
loi","Law (legal code)",,,,"noun","fem"
2,35,"Le travail
travail
un travail","Work, job, task",,,,"noun","masc"
2,36,"Travailler","To work
work",,,,"verb",
2,37,"Le détail
un détail
détail","Detail",,,,"noun","masc"
2,38,"La tante
une tante
tante","Aunt",,,,"noun","fem"
2,39,"La tente
une tente
tente","Tent",,,,"noun","fem"
2,40,"L'oncle
un oncle
oncle","Uncle",,,,"noun","masc"
2,41,"Le matin","Morning",,,,,
2,42,"Le vin
le vin
un vin
du vin","Wine",,,,"noun","masc"
2,43,"Invariable","Invariable (Adj) (Inv…)",,,,,
2,44,"Brun","Brown (Adj) (B…)",,,,,
2,45,"La route
route
une route","Road",,,,"noun","fem"
2,46,"L'autoroute
une autoroute
autoroute","Motorway, highway, freeway",,,,"noun","fem"
2,47,"L'outil
un outil
outil","Tool",,,,"noun","masc"
2,48,"La fourmi","Ant; pins and needles (that feeling of a leg falling asleep) (Fo…)",,,,,
2,49,"La bataille
une bataille
bataille","Battle",,,,"noun","fem"
2,50,"La liberté
une liberté
liberté","Liberty, freedom",,,,"noun","fem"
2,51,"La Croatie","Croatia",,,,,
2,52,"Croate","Croatian (Adj) (Cr…)",,,,,
2,53,"La maison
une maison
maison","House",,,,"noun","fem"
2,54,"La langue
une langue
langue","Tongue; language",,,,"noun","fem"
2,55,"Le cahier
un cahier
cahier","Notebook (Ca...)
copybook",,,,"noun","masc"
2,56,"Long
longue","Long (Adj) (L...)
lengthy",,,,"adjective",
2,57,"La linguistique","Linguistics (Li…)",,,,,
2,58,"Hongrois","Hungarian (Adj) (Ho…)",,,,"adjective",
2,59,"Turc","Turkish (Adj) (Tu…)",,,,,
2,60,"Espérer","To hope (Es…)",,,,,
2,61,"La langue maternelle","Maternal language (Lan…ma…)",,,,,
2,62,"Les études hongroises","Hungarian studies (Hungarologija)",,,,,
2,63,"Nouvel","(Form of nouveau used before a masculine noun that starts with a vowel sound)",,,,,
2,64,"Nouveau
nouvelle","New (Adj)",,,,"adjective",
2,65,"Vieil","(form of vieux used before a masculine singular noun that starts with a vowel or mute h)",,,,,
2,66,"Vieux","Old (Adj) (V…)",,,,,
2,67,"Espagnol","The Spanish language; (Adj) Spanish",,,,,
2,68,"Japonais","The Japanese language; (Adj) Japanese",,,,,
2,69,"Afrique","Africa",,,,,
2,70,"Le continent
un continent
continent","Continent",,,,"noun","masc"
2,71,"La voiture
une voiture
voiture","Car",,,,"noun","fem"
2,72,"Le chat
un chat
chat","Cat",,,,"noun","masc"
2,73,"Le chien
un chien
chien","Dog",,,,"noun","masc"
2,74,"Le cheval
un cheval
cheval","Horse",,,,"noun","masc"
2,75,"Les cheveux
cheveux
des cheveux","Hair",,,,"noun plural","masc"
2,76,"Le Lundi","On Mondays",,,,,
2,77,"Libre","Free; available (Adj)",,,,,
2,78,"Bruyant","Noisy (Adj)",,,,,
2,79,"Le bureau
un bureau
bureau","Desk; office",,,,"noun","masc"
2,80,"Les messieurs","(Plural of le monsieur)",,,,,
2,81,"Fâché","Angry (Adj) (Fâ…)",,,,,
2,82,"Être pressé","To be in a hurry (Êt…pr…)",,,,,
2,83,"Lutetia","The Roman city of Lutetia, the predecessor of present-day Paris.",,,,,
2,84,"Hôtel Lutetia","The Hôtel Lutetia",,,,,
2,85,"Être de bonne humeur","To be in a good mood (Être de bonne…)",,,,,
3,1,"Tu vas bien?","Are you well? (Informal) (T...v...b...)",,,,,
3,2,"Ça va!","All right! (Ç...v...!)",,,,,
3,3,"À demain!","See you tomorrow! (À...d...)",,,,,
3,4,"Comment allez-vous?","How are you? (Formal)",,,,,
3,5,"Bonne journée!","Have a good day! (Bo...jo...)",,,,,
3,6,"Tchao!","Ciao!",,,,,
4,1,"Le diacritique","Diacritic (Special mark)",,,,,
4,2,"Le signe diacritique","Diacritical mark (another way of saying diacritic)",,,,,
4,3,"L'accent aigu","Acute accent ( ´ )",,,,,
4,4,"L'accent grave","Grave accent ( ` )",,,,,
4,5,"L'accent circonflexe","Circumflex ( ˆ )",,,,,
4,6,"Le tréma","Diaeresis ( ¨ )",,,,,
4,7,"La cédille","Cedilla ( ¸ )",,,,,
4,8,"Le tilde","Tilde ( ˜ )",,,,,
5,1,"a","/a/",,,,,
5,2,"oi","/wa/",,,,,
5,3,"ai","/ɛ/",,,,,
5,4,"au / eau","/o/",,,,,
5,5,"ail / aille","/aj/",,,,,
5,6,"u","/y/ (same as Hungarian ű)",,,,,
5,7,"ou","/u/",,,,,
5,8,"é","/e/",,,,,
5,9,"è","/ɛ/",,,,,
5,10,"e","/ə/",,,,,
5,11,"œu","/œ/",,,,,
5,12,"o","/ɔ/",,,,,
5,13,"eu / eû","/ø/",,,,,
5,14,"i","/i/",,,,,
5,15,"an / en / am / em / ean","/ɑ̃/",,,,,
5,16,"in / ain / aim / ein / eim / yn / ym","/ɛ̃/",,,,,
5,17,"on / om","/ɔ̃/",,,,,
5,18,"un / um","/œ̃/",,,,,
6,1,"Le verbe","Verb",,,,,
6,2,"Le nom","Noun; last name",,,,,
6,3,"L'adjectif","Adjective",,,,,
6,4,"La voix","(Grammar) Voice",,,,,
6,5,"Le mode","(Grammar) Mood (La mode means fashion)",,,,,
6,6,"La voix active","The active voice",,,,,
6,7,"La voix passive","The passive voice",,,,,
6,8,"L'aspect","(Grammar) Aspect",,,,,
6,9,"Le temps","(Grammar) Tense",,,,,
6,10,"Le mode indicatif","The indicative mood",,,,,
6,11,"Le mode conditionnel","The conditional mood",,,,,
6,12,"Le mode subjonctif","The subjunctive mood",,,,,
6,13,"Le mode impératif","The imperative mood",,,,,
6,14,"Le cas
un cas
cas","(Grammar) Case",,,,"noun","masc"
6,15,"Le cas nominatif","Nominative",,,,,
6,16,"Le cas oblique","Oblique",,,,,
6,17,"La flexion","Inflection",,,,,
6,18,"La conjugaison","Conjugation",,,,,
6,19,"La personne","(Grammar) Person; (other contexts) person",,,,,
6,20,"Le nombre","(Grammar) Number",,,,,
6,21,"Le genre","(Grammar) Gender",,,,,
6,22,"Le verbe auxiliaire","Auxiliary verb (or sometimes simply un auxiliaire)",,,,,
6,23,"La phonologie","Phonology",,,,,
6,24,"La phonétique","Phonetics",,,,,
6,25,"La sémantique","Semantics",,,,,
6,26,"La syntaxe","Syntax",,,,,
6,27,"La morphologie","Morphology",,,,,
6,28,"La lexicographie","Lexicography",,,,,
6,29,"La famille de langues","Language family",,,,,
6,30,"La diathèse","Diathesis (Another word for grammatical voice, active or passive)",,,,,
6,31,"Le pronom","Pronoun",,,,,
6,32,"Singulier","Singular (Adj)",,,,,
6,33,"Pluriel","Plural (Adj)",,,,,
6,34,"Le duel","Dual (Grammatical number)",,,,,
6,35,"Les pronoms toniques","Tonic pronouns (emphatic pronouns)",,,,,
6,36,"Le pronom relatif","Relative pronoun",,,,,
7,1,"Le signifié","The signified",,,,,
7,2,"Le signifiant","The signifier",,,,,
7,3,"L'image acoustique","The sound image (acoustic image)",,,,,
7,4,"Le concept","Concept",,,,,
7,5,"L'Académie française","The Académie française",,,,,
7,6,"La valeur","(Linguistic) value",,,,,
8,1,"Lundi
le lundi
un lundi","Monday",,,,"noun","masc"
8,2,"Mardi
le mardi
un mardi","Tuesday",,,,"noun","masc"
8,3,"Mercredi
le mercredi
un mercredi","Wednesday",,,,"noun","masc"
8,4,"Jeudi
un jeudi
le jeudi","Thursday",,,,"noun","masc"
8,5,"Vendredi
le vendredi
un vendredi","Friday",,,,"noun","masc"
8,6,"Samedi
le samedi
un samedi","Saturday",,,,"noun","masc"
8,7,"Dimanche
un dimanche
le dimanche","Sunday",,,,"noun","masc"
9,1,"Septembre
un septembre","September",,,,"noun","masc"
9,2,"Octobre
un octobre","October",,,,"noun","masc"
9,3,"Novembre
un novembre","November",,,,"noun","masc"
9,4,"Décembre
un décembre","December",,,,"noun","masc"
9,5,"Janvier
un janvier","January",,,,"noun","masc"
9,6,"Février
un février","February",,,,"noun","masc"
9,7,"Mars
un mars","March",,,,"noun","masc"
9,8,"Avril
un avril","April",,,,"noun","masc"
9,9,"Mai
un mai","May",,,,"noun","masc"
9,10,"Juin
un juin","June",,,,"noun","masc"
9,11,"Juillet
un juillet","July",,,,"noun","masc"
9,12,"Août
un août","August",,,,"noun","masc"
10,1,"Un
une","A; one",,,,"article",
10,2,"Deux","Two",,,,"quantifier",
10,3,"Trois","Three",,,,"quantifier",
10,4,"Quatre","Four",,,,"quantifier",
10,5,"Cinq","Five",,,,"quantifier",
10,6,"Six","Six",,,,"quantifier",
10,7,"Sept","Seven",,,,"quantifier",
10,8,"Huit","Eight",,,,"quantifier",
10,9,"Neuf","Nine",,,,"quantifier",
10,10,"Dix","Ten",,,,"quantifier",
10,11,"Onze","Eleven",,,,"quantifier",
10,12,"Douze","Twelve",,,,"quantifier",
10,13,"Treize","Thirteen",,,,"quantifier",
10,14,"Quatorze","Fourteen",,,,"quantifier",
10,15,"Quinze","Fifteen",,,,"quantifier",
10,16,"Seize","Sixteen",,,,"quantifier",
10,17,"Dix-sept","Seventeen",,,,,
10,18,"Dix-huit","Eighteen",,,,,
10,19,"Dix-neuf","Nineteen",,,,,
10,20,"Vingt","Twenty",,,,,
10,21,"Vingt-et-un","Twenty-one",,,,,
10,22,"Trente","Thirty",,,,"quantifier",
10,23,"Quarante","Forty",,,,"quantifier",
10,24,"Cinquante","Fifty",,,,"quantifier",
10,25,"Soixante","Sixty",,,,"quantifier",
10,26,"Soixante-dix","Seventy",,,,,
10,27,"Quatre-vingt","Eighty",,,,,
10,28,"Quatre-vingt-dix","Ninety",,,,,
10,29,"Cent","Hundred",,,,"quantifier",
10,30,"Mille","One thousand
a thousand",,,,"quantifier",
10,31,"Un million","One million",,,,,
10,32,"Un milliard","One billion",,,,,
10,33,"Un billion","One trillion",,,,,
10,34,"Un billiard","One quadrillion",,,,,
10,35,"Un trillion","One quintillion",,,,,
11,1,"Vous êtes libres demain?","Are you free tomorrow?",,,,,
11,2,"Comment dites-vous…?","How do you say…?",,,,,
11,3,"Quelle heure est-il?","What time is it?",,,,,
11,4,"Il est une heure","It is one o'clock.",,,,,
11,5,"Il est deux heures","It is two o'clock.",,,,,
11,6,"Il est deux heures et quart","It is 2:15",,,,,
11,7,"ll est une heure et demie","It is 1:30",,,,,
11,8,"Il est deux heures moins le quart","It is 1:45",,,,,
11,9,"Il est six heures moins dix","It is 5:50 (10 to 6:00)",,,,,
11,10,"Il est minuit","It is midnight",,,,,
11,11,"Il est midi","It is midday",,,,,
11,12,"À quelle heure commence…?","At what time does X start…?",,,,,
11,13,"De quelle heure à quelle heure","From what time to what time?",,,,,
11,14,"Il fait très chaud","(About the weather) It is very hot",,,,,
11,15,"Il fait beau","(About the weather) It's nice out",,,,,
11,16,"Quel temps fait-il?","How is the weather?",,,,,
11,17,"Il fait du soleil","(About the weather) It is sunny",,,,,
11,18,"Il fait frais","(About the weather) It is chilly out",,,,,
11,19,"Il fait du vent","(About the weather) It's windy",,,,,
11,20,"Il fait froid","(About the weather) It is cold",,,,,
12,1,"Les nombres approximatifs","Approximate numbers",,,,,
12,2,"La dizaine
une dizaine
dizaine","About ten",,,,"noun","fem"
12,3,"La huitaine","About eight (usually means about a week)",,,,,
12,4,"La douzaine","A group of twelve, dozen; about 12",,,,,
12,5,"La quinzaine
une quinzaine
quinzaine","About fifteen (usually means about two weeks)
around fifteen",,,,"noun","fem"
12,6,"La vingtaine
une vingtaine
vingtaine","About twenty
twenty something
around twenty
about twenty",,,,"noun","fem"
12,7,"La trentaine
une trentaine
trentaine","About thirty
thirty something
around thirty",,,,"noun","fem"
12,8,"La quarantaine
une quarantaine
quarantaine","About forty
forty something
around forty",,,,"noun","fem"
12,9,"La cinquantaine
une cinquantaine","About fifty
fifty something
around fifty",,,,"quantifier",
12,10,"La soixantaine","About sixty",,,,,
12,11,"La centaine
une centaine
centaine","About a hundred
a hundred",,,,"noun","fem"
12,12,"Le millier","A thousand, a number of about a thousand",,,,,
12,13,"La soixante-dizaine","(Rare) About 70",,,,,
12,14,"La quatre-vingtaine","(Rare) About 80",,,,,
12,15,"La quatre-vingt-dizaine","(Rare) About 90",,,,,
13,1,"Avoir faim","To be hungry",,,,,
13,2,"La soif
une soif
soif","Thirst",,,,"noun","fem"
13,3,"Boire","To drink
drink",,,,"verb",
13,4,"Les cheveux
cheveux
des cheveux","Hair",,,,"noun plural","masc"
13,5,"Le cheveu","A headhair (still with definite article)",,,,,
13,6,"Chevelu","Hairy, long-haired (Adj) (Ch…)",,,,,
13,7,"Les yeux","Eyes (plural of œil)",,,,,
13,8,"L'œil","Eye; eye (of a needle); glyph",,,,,
13,9,"Les œils","(Plural of œil as the eye of a needle or as a glyph, 'les yeux' is for the anatomical eye)",,,,,
13,10,"Seul
seule","Alone, on one's own (Adj)",,,,"adjective",
13,11,"Seulement","Only (Adv)",,,,"adverb",
13,12,"Tout seul","All alone, alone, by oneself (Adj and adv) (T...s...)",,,,,
13,13,"Enrhumé","Having a cold (Adj) (Enr…)",,,,,
13,14,"Le sommeil
un sommeil
sommeil","Sleep",,,,"noun","masc"
13,15,"Naître","To be born
be born",,,,"verb",
13,16,"Naïf","Naive (Adj)",,,,,
13,17,"La semaine
semaine
une semaine","Week",,,,"noun","fem"
13,18,"Le jour
un jour
jour","Day",,,,"noun","masc"
13,19,"La journée
une journée
journée","Day, daytime",,,,"noun","fem"
13,20,"Au jour le jour","From day to day, one day at a time, hand-to-mouth (Adv) (Au jo…le jo…)",,,,,
13,21,"Jour pour jour","To the day (Adv) (It was a week ago to the day)",,,,,
13,22,"Le jour du Seigneur","Sunday, Lord's Day (Jo…du Seig…)",,,,,
13,23,"Le seigneur
un seigneur
seigneur","Lord, master",,,,"noun","masc"
13,24,"Le Seigneur","God, the Lord (Seig…)",,,,,
13,25,"Tous les jours","Every day (Tous les j...)",,,,,
13,26,"Toute la journée","All day (Tou…la jou…)",,,,,
13,27,"Les parties de la journée","The parts of the day, times of the day (morning, midday, afternoon)",,,,,
13,28,"L'après-midi","Afternoon (Both masculine or feminine)",,,,,
13,29,"Le soir","Evening",,,,,
13,30,"Chercher","To look for (Ch...)
look for
to search for
search for
seek
seek",,,,"verb",
13,31,"Rechercher","To look for; to be searching for (Re...)
search for
to seek
seek
to hunt
hunt",,,,"verb",
13,32,"Le bénévole
un bénévole
bénévole","Volunteer",,,,"noun","masc"
13,33,"Bénévole","Voluntary (Adj)",,,,,
13,34,"L'hôtel
un hôtel
hôtel","Hotel",,,,"noun","masc"
13,35,"Portugais
portugaise","Portuguese (Adj)",,,,"adjective",
13,36,"Le Portugal","Portugal",,,,,
13,37,"La littérature française","French literature",,,,,
13,38,"Le prénom","First name, given name (Pr…)",,,,,
13,39,"Le nom","Noun; last name",,,,,
13,40,"La nationalité","Nationality",,,,,
13,41,"L'étude","Study",,,,,
13,42,"La fiche
une fiche
fiche","Card (in a file) (Fic...)",,,,"noun","fem"
13,43,"L'heure","Hour (Fem)",,,,,
13,44,"À l'heure","On time (Adj and adv) (À l'h…)",,,,,
14,1,"Voyager","To travel
travel",,,,"verb",
14,2,"Apprendre","To learn
learn",,,,"verb",
14,3,"Aimer","To like
like
love
to love",,,,"verb",
14,4,"Parler","To speak
speak",,,,"verb",
14,5,"Rester","To stay
stay",,,,"verb",
14,6,"Déjeuner","To have lunch
lunch
have lunch
to lunch",,,,"verb",
14,7,"Dîner","To dine
dine",,,,"verb",
14,8,"Marcher","To walk
walk",,,,"verb",
14,9,"Fonctionner","To function
function",,,,"verb",
14,10,"Commencer","To begin
begin
to start
start",,,,"verb",
14,11,"Terminer","To finish (T...)
finish
to terminate
terminate",,,,"verb",
14,12,"Coûter","To cost
cost",,,,"verb",
14,13,"Habiter","To live in
live in",,,,"verb",
14,14,"La pièce","Room; piece; (money) coin (P...)",,,,,
14,15,"Gratuit
gratuite","Free (Of price) (Adj)",,,,"adjective",
14,16,"Marcher","To walk
walk",,,,"verb",
14,17,"Tôt","Early (Adv) (T…)",,,,,
14,18,"Tard","Late (Adv) (Ta…)",,,,,
14,19,"Londres","London",,,,,
14,20,"Belgrade","Belgrade",,,,,
14,21,"Le passeport
un passeport
passeport","Passport",,,,"noun","masc"
14,22,"Chanter","To sing
sing",,,,"verb",
14,23,"Le document
un document
document","Document; (computing) file)",,,,"noun","masc"
14,24,"Le livre
un livre
livre","Book",,,,"noun","masc"
14,25,"La livre
une livre
livre","Pound",,,,"noun","fem"
14,26,"La librairie
une librairie
librairie","Bookstore",,,,"noun","fem"
14,27,"La bibliothèque
une bibliothèque
bibliothèque","Library",,,,"noun","fem"
14,28,"Le bibliothécaire
La bibliothécaire","Librarian (can be male or female)",,,,,
14,29,"Manger","To eat
eat",,,,"verb",
14,30,"Désirer","To desire
desire",,,,"verb",
14,31,"La tour","Tower",,,,,
14,32,"Le tour
un tour
tour","Turn, tour (like le tour de France)",,,,"noun","masc"
14,33,"Le journalisme","Journalism",,,,,
14,34,"La Tour Eiffel","The Eiffel Tower",,,,,
14,35,"Le Tour de France","The Tour de France",,,,,
14,36,"La peinture
une peinture
peinture","Painting (not tableau)",,,,"noun","fem"
14,37,"La sœur","Sister",,,,,
14,38,"La carte d'identité","Identity document",,,,,
14,39,"Loin","Far (Adv)",,,,,
14,40,"Loin d'ici","Far from here (Loin d…)",,,,,
14,41,"Près","Near (Adv) (P…)",,,,,
14,42,"Près d'ici","Near to here (Près d...)",,,,,
14,43,"Rêver","To dream
dream",,,,"verb",
14,44,"Le rêve
un rêve
rêve","Dream",,,,"noun","masc"
14,45,"L'hiver
hiver
un hiver","Winter",,,,"noun","masc"
14,46,"L'anniversaire
un anniversaire
anniversaire","Birthday, anniversary",,,,"noun","masc"
14,47,"Le printemps
un printemps
printemps","Spring (the season)",,,,"noun","masc"
14,48,"L'été
un été
été","Summer",,,,"noun","masc"
14,49,"L'automne
un automne
automne","Autumn, fall",,,,"noun","masc"
14,50,"La neige
une neige
neige","Snow",,,,"noun","fem"
14,51,"La pluie
pluie","Rain",,,,"noun","fem"
14,52,"Le Sénégal","Senegal",,,,,
14,53,"Le pays
un pays
pays","Country",,,,"noun","masc"
14,54,"Le Brésil","Brazil",,,,,
14,55,"Les Pays-Bas","The Netherlands",,,,,
14,56,"La mosquée","Mosque",,,,,
14,57,"Le Maroc","Morocco",,,,,
14,58,"Marocain
marocaine","Moroccan (Adj); A Moroccan (Noun)",,,,"adjective",
14,59,"Suisse","Swiss (Adj); a Swiss person (Noun)",,,,,
14,60,"La Suisse","Switzerland",,,,,
14,61,"La ville
une ville
ville","City",,,,"noun","fem"
14,62,"Léman","Lake Geneva",,,,,
14,63,"Genève","Geneva (city)",,,,,
14,64,"Les mois de l'année","The months of the year",,,,,
14,65,"L'année","Year",,,,,
14,66,"Le mois
un mois
mois","Month",,,,"noun","masc"
14,67,"Venir","To come
come",,,,"verb",
14,68,"La température
une température
température","Temperature",,,,"noun","fem"
14,69,"Le cours
un cours
cours","Course",,,,"noun","masc"
14,70,"La patience
une patience
patience","Patience",,,,"noun","fem"
14,71,"La faim
une faim
faim","Hunger",,,,"noun","fem"
14,72,"Le feu
un feu
feu","Fire",,,,"noun","masc"
14,73,"Les feux d'artifice","Fireworks",,,,,
14,74,"Le permis de conduire","Driving license",,,,,
14,75,"Budapest","Budapest",,,,,
14,76,"Le Caire","Cairo",,,,,
14,77,"Istanbul","Istanbul",,,,,
14,78,"La Turquie","Turkey (T…)",,,,,
14,79,"Serbo-croate","Serbo-Croatian (Adj)",,,,,
14,80,"Serbe","Serbian (Adj)",,,,,
14,81,"Hongrois","Hungarian (Adj) (Ho…)",,,,"adjective",
14,82,"Arabe","Arabic (Adj)",,,,"adjective",
14,83,"La Yougoslavie","Yugoslavia",,,,,
14,84,"Yougoslave","Yugoslavian (Adj)",,,,"adjective",
14,85,"Croate","Croatian (Adj) (Cr…)",,,,,
14,86,"La Slovénie","Slovenia",,,,,
14,87,"Bosniaque","Bosniak (Adj)",,,,"adjective",
14,88,"Slovène","Slovenian (Adj)",,,,"adjective",
14,89,"Monténégrin","Montenegrin (Adj)",,,,"adjective",
15,1,"Poser","To put, place; to pose (a question)",,,,,
15,2,"Le quartier
un quartier
quartier","Quarter, district, neighborhood (Q...)
quarter",,,,"noun","masc"
15,3,"L'endroit
un endroit
endroit","Place, spot (E...)",,,,"noun","masc"
15,4,"Le père
un père
père","Father, dad",,,,"noun","masc"
15,5,"Le grand-père","Grandfather",,,,,
15,6,"Le beau-père","Father-in-law; stepfather",,,,,
15,7,"Le café
un café
café","Coffee; café",,,,"noun","masc"
15,8,"Tranquille","Quiet, tranquil (Adj)",,,,"adjective",
15,9,"Derrière","Behind (Adv and preposition)",,,,"preposition",
15,10,"Le derrière","Bottom, bum, backside (Der…)",,,,,
15,11,"En face de","Across from, opposite (Preposition) (En fa…)",,,,,
15,12,"L'homme","Man",,,,,
15,13,"En homme","(chiefly of a trans, non-binary or cross-dressing person) Dressed in masculine clothing (Adv) (En h…)",,,,,
15,14,"En femme","(chiefly of a trans, non-binary or cross-dressing person) Dressed in feminine clothing (Adv) (En f…)",,,,,
15,15,"La madame","Mrs, Madam
Mrs.",,,,"noun","fem"
15,16,"La mademoiselle
une mademoiselle
la mademoiselle","Miss, young lady
young woman",,,,"noun","fem"
15,17,"La place","Place, square, plaza, piazza; place, space, room",,,,,
15,18,"Le centre-ville","City center",,,,,
15,19,"Le journaliste
un journaliste
journaliste","Journalist, reporter (can be masc or fem)",,,,"noun","masc"
15,20,"L'église
une église
église","Church",,,,"noun","fem"
15,21,"La synagogue","Synagogue",,,,,
