Level	Label	Definition
2	Lutetia	"The Roman city of Lutetia, the predecessor of present-day Paris."
2	Hôtel Lutetia	The Hôtel Lutetia
2	Être de bonne humeur	To be in a good mood (Être de bonne…)
3	Tu vas bien?	Are you well? (Informal) (T...v...b...)
3	Ça va!	All right! (Ç...v...!)
3	À demain!	See you tomorrow! (À...d...)
3	Comment allez-vous?	How are you? (Formal)
3	Bonne journée!	Have a good day! (Bo...jo...)
3	Tchao!	Ciao!
4	Le diacritique	Diacritic (Special mark)
4	Le signe diacritique	Diacritical mark (another way of saying diacritic)
4	L'accent aigu	Acute accent ( ´ )
4	L'accent grave	Grave accent ( ` )
4	L'accent circonflexe	Circumflex ( ˆ )
4	Le tréma	Diaeresis ( ¨ )
4	La cédille	Cedilla ( ¸ )
4	Le tilde	Tilde ( ˜ )
5	a	/a/
5	oi	/wa/
5	ai	/ɛ/
5	au / eau	/o/
5	ail / aille	/aj/
5	u	/y/ (same as Hungarian ű)
5	ou	/u/
5	é	/e/
5	è	/ɛ/
5	e	/ə/
5	œu	/œ/
5	o	/ɔ/
5	eu / eû	/ø/
5	i	/i/
5	an / en / am / em / ean	/ɑ̃/
5	in / ain / aim / ein / eim / yn / ym	/ɛ̃/
5	on / om	/ɔ̃/
5	un / um	/œ̃/
6	Le verbe	Verb
6	Le nom	Noun; last name
6	L'adjectif	Adjective
6	La voix	(Grammar) Voice
6	Le mode	(Grammar) Mood (La mode means fashion)
6	La voix active	The active voice
6	La voix passive	The passive voice
6	L'aspect	(Grammar) Aspect
6	Le temps	(Grammar) Tense
6	Le mode indicatif	The indicative mood
6	Le mode conditionnel	The conditional mood
6	Le mode subjonctif	The subjunctive mood
6	Le mode impératif	The imperative mood
6	"Le cas
un cas
cas"	(Grammar) Case
6	Le cas nominatif	Nominative
6	Le cas oblique	Oblique
6	La flexion	Inflection
6	La conjugaison	Conjugation
6	La personne	(Grammar) Person; (other contexts) person
6	Le nombre	(Grammar) Number
6	Le genre	(Grammar) Gender
6	Le verbe auxiliaire	Auxiliary verb (or sometimes simply un auxiliaire)
6	La phonologie	Phonology
6	La phonétique	Phonetics
6	La sémantique	Semantics
6	La syntaxe	Syntax
6	La morphologie	Morphology
6	La lexicographie	Lexicography
6	La famille de langues	Language family
6	La diathèse	"Diathesis (Another word for grammatical voice, active or passive)"
6	Le pronom	Pronoun
6	Singulier	Singular (Adj)
6	Pluriel	Plural (Adj)
6	Le duel	Dual (Grammatical number)
6	Les pronoms toniques	Tonic pronouns (emphatic pronouns)
6	Le pronom relatif	Relative pronoun
7	Le signifié	The signified
7	Le signifiant	The signifier
7	L'image acoustique	The sound image (acoustic image)
7	Le concept	Concept
7	L'Académie française	The Académie française
7	La valeur	(Linguistic) value
8	"Lundi
le lundi
un lundi"	Monday
8	"Mardi
le mardi
un mardi"	Tuesday
8	"Mercredi
le mercredi
un mercredi"	Wednesday
8	"Jeudi
un jeudi
le jeudi"	Thursday
8	"Vendredi
le vendredi
un vendredi"	Friday
8	"Samedi
le samedi
un samedi"	Saturday
8	"Dimanche
un dimanche
le dimanche"	Sunday
9	"Septembre
un septembre"	September
9	"Octobre
un octobre"	October
9	"Novembre
un novembre"	November
9	"Décembre
un décembre"	December
9	"Janvier
un janvier"	January
9	"Février
un février"	February
9	"Mars
un mars"	March
9	"Avril
un avril"	April
9	"Mai
un mai"	May
9	"Juin
un juin"	June
9	"Juillet
un juillet"	July
9	"Août
un août"	August
10	"Un
une"	A; one
10	Deux	Two
10	Trois	Three
10	Quatre	Four
10	Cinq	Five
10	Six	Six
10	Sept	Seven
10	Huit	Eight
10	Neuf	Nine
10	Dix	Ten
10	Onze	Eleven
10	Douze	Twelve
10	Treize	Thirteen
10	Quatorze	Fourteen
10	Quinze	Fifteen
10	Seize	Sixteen
10	Dix-sept	Seventeen
10	Dix-huit	Eighteen
10	Dix-neuf	Nineteen
10	Vingt	Twenty
10	Vingt-et-un	Twenty-one
10	Trente	Thirty
10	Quarante	Forty
10	Cinquante	Fifty
10	Soixante	Sixty
10	Soixante-dix	Seventy
10	Quatre-vingt	Eighty
10	Quatre-vingt-dix	Ninety
10	Cent	Hundred
10	Mille	"One thousand
a thousand"
10	Un million	One million
10	Un milliard	One billion
10	Un billion	One trillion
10	Un billiard	One quadrillion
10	Un trillion	One quintillion
11	Vous êtes libres demain?	Are you free tomorrow?
11	Comment dites-vous…?	How do you say…?
11	Quelle heure est-il?	What time is it?
11	Il est une heure	It is one o'clock.
11	Il est deux heures	It is two o'clock.
11	Il est deux heures et quart	It is 2:15
11	ll est une heure et demie	It is 1:30
11	Il est deux heures moins le quart	It is 1:45
11	Il est six heures moins dix	It is 5:50 (10 to 6:00)
11	Il est minuit	It is midnight
11	Il est midi	It is midday
11	À quelle heure commence…?	At what time does X start…?
11	De quelle heure à quelle heure	From what time to what time?
11	Il fait très chaud	(About the weather) It is very hot
11	Il fait beau	(About the weather) It's nice out
11	Quel temps fait-il?	How is the weather?
11	Il fait du soleil	(About the weather) It is sunny
11	Il fait frais	(About the weather) It is chilly out
11	Il fait du vent	(About the weather) It's windy
11	Il fait froid	(About the weather) It is cold
12	Les nombres approximatifs	Approximate numbers
12	"La dizaine
une dizaine
dizaine"	About ten
12	La huitaine	About eight (usually means about a week)
12	La douzaine	"A group of twelve, dozen; about 12"
12	"La quinzaine
une quinzaine
quinzaine"	"About fifteen (usually means about two weeks)
around fifteen"
12	"La vingtaine
une vingtaine
vingtaine"	"About twenty
twenty something
around twenty
about twenty"
12	"La trentaine
une trentaine
trentaine"	"About thirty
thirty something
around thirty"
12	"La quarantaine
une quarantaine
quarantaine"	"About forty
forty something
around forty"
12	"La cinquantaine
une cinquantaine"	"About fifty
fifty something
around fifty"
12	La soixantaine	About sixty
12	"La centaine
une centaine
centaine"	"About a hundred
a hundred"
12	Le millier	"A thousand, a number of about a thousand"
12	La soixante-dizaine	(Rare) About 70
12	La quatre-vingtaine	(Rare) About 80
12	La quatre-vingt-dizaine	(Rare) About 90
13	Avoir faim	To be hungry
13	"La soif
une soif
soif"	Thirst
13	Boire	"To drink
drink"
13	"Les cheveux
cheveux
des cheveux"	Hair
13	Le cheveu	A headhair (still with definite article)
13	Chevelu	"Hairy, long-haired (Adj) (Ch…)"
13	Les yeux	Eyes (plural of œil)
13	L'œil	Eye; eye (of a needle); glyph
13	Les œils	"(Plural of œil as the eye of a needle or as a glyph, 'les yeux' is for the anatomical eye)"
13	"Seul
seule"	"Alone, on one's own (Adj)"
13	Seulement	Only (Adv)
13	Tout seul	"All alone, alone, by oneself (Adj and adv) (T...s...)"
13	Enrhumé	Having a cold (Adj) (Enr…)
13	"Le sommeil
un sommeil
sommeil"	Sleep
13	Naître	"To be born
be born"
13	Naïf	Naive (Adj)
13	"La semaine
semaine
une semaine"	Week
13	"Le jour
un jour
jour"	Day
13	"La journée
une journée
journée"	"Day, daytime"
13	Au jour le jour	"From day to day, one day at a time, hand-to-mouth (Adv) (Au jo…le jo…)"
13	Jour pour jour	To the day (Adv) (It was a week ago to the day)
13	Le jour du Seigneur	"Sunday, Lord's Day (Jo…du Seig…)"
13	"Le seigneur
un seigneur
seigneur"	"Lord, master"
13	Le Seigneur	"God, the Lord (Seig…)"
13	Tous les jours	Every day (Tous les j...)
13	Toute la journée	All day (Tou…la jou…)
13	Les parties de la journée	"The parts of the day, times of the day (morning, midday, afternoon)"
13	L'après-midi	Afternoon (Both masculine or feminine)
13	Le soir	Evening
13	Chercher	"To look for (Ch...)
look for
to search for
search for
seek
seek"
13	Rechercher	"To look for; to be searching for (Re...)
search for
to seek
seek
to hunt
hunt"
13	"Le bénévole
un bénévole
bénévole"	Volunteer
13	Bénévole	Voluntary (Adj)
13	"L'hôtel
un hôtel
hôtel"	Hotel
13	"Portugais
portugaise"	Portuguese (Adj)
13	Le Portugal	Portugal
13	La littérature française	French literature
13	Le prénom	"First name, given name (Pr…)"
13	Le nom	Noun; last name
13	La nationalité	Nationality
13	L'étude	Study
13	"La fiche
une fiche
fiche"	Card (in a file) (Fic...)
13	L'heure	Hour (Fem)
13	À l'heure	On time (Adj and adv) (À l'h…)
14	Voyager	"To travel
travel"
14	Apprendre	"To learn
learn"
14	Aimer	"To like
like
love
to love"
14	Parler	"To speak
speak"
14	Rester	"To stay
stay"
14	Déjeuner	"To have lunch
lunch
have lunch
to lunch"
14	Dîner	"To dine
dine"
14	Marcher	"To walk
walk"
14	Fonctionner	"To function
function"
14	Commencer	"To begin
begin
to start
start"
14	Terminer	"To finish (T...)
finish
to terminate
terminate"
14	Coûter	"To cost
cost"
14	Habiter	"To live in
live in"
14	La pièce	Room; piece; (money) coin (P...)
14	"Gratuit
gratuite"	Free (Of price) (Adj)
14	Marcher	"To walk
walk"
14	Tôt	Early (Adv) (T…)
14	Tard	Late (Adv) (Ta…)
14	Londres	London
14	Belgrade	Belgrade
14	"Le passeport
un passeport
passeport"	Passport
14	Chanter	"To sing
sing"
14	"Le document
un document
document"	Document; (computing) file)
14	"Le livre
un livre
livre"	Book
14	"La livre
une livre
livre"	Pound
14	"La librairie
une librairie
librairie"	Bookstore
14	"La bibliothèque
une bibliothèque
bibliothèque"	Library
14	"Le bibliothécaire
La bibliothécaire"	Librarian (can be male or female)
14	Manger	"To eat
eat"
14	Désirer	"To desire
desire"
14	La tour	Tower
14	"Le tour
un tour
tour"	"Turn, tour (like le tour de France)"
14	Le journalisme	Journalism
14	La Tour Eiffel	The Eiffel Tower
14	Le Tour de France	The Tour de France
14	"La peinture
une peinture
peinture"	Painting (not tableau)
14	La sœur	Sister
14	La carte d'identité	Identity document
14	Loin	Far (Adv)
14	Loin d'ici	Far from here (Loin d…)
14	Près	Near (Adv) (P…)
14	Près d'ici	Near to here (Près d...)
14	Rêver	"To dream
dream"
14	"Le rêve
un rêve
rêve"	Dream
14	"L'hiver
hiver
un hiver"	Winter
14	"L'anniversaire
un anniversaire
anniversaire"	"Birthday, anniversary"
14	"Le printemps
un printemps
printemps"	Spring (the season)
14	"L'été
un été
été"	Summer
14	"L'automne
un automne
automne"	"Autumn, fall"
14	"La neige
une neige
neige"	Snow
14	"La pluie
pluie"	Rain
14	Le Sénégal	Senegal
14	"Le pays
un pays
pays"	Country
14	Le Brésil	Brazil
14	Les Pays-Bas	The Netherlands
14	La mosquée	Mosque
14	Le Maroc	Morocco
14	"Marocain
marocaine"	Moroccan (Adj); A Moroccan (Noun)
14	Suisse	Swiss (Adj); a Swiss person (Noun)
14	La Suisse	Switzerland
14	"La ville
une ville
ville"	City
14	Léman	Lake Geneva
14	Genève	Geneva (city)
14	Les mois de l'année	The months of the year
14	L'année	Year
14	"Le mois
un mois
mois"	Month
14	Venir	"To come
come"
14	"La température
une température
température"	Temperature
14	"Le cours
un cours
cours"	Course
14	"La patience
une patience
patience"	Patience
14	"La faim
une faim
faim"	Hunger
14	"Le feu
un feu
feu"	Fire
14	Les feux d'artifice	Fireworks
14	Le permis de conduire	Driving license
14	Budapest	Budapest
14	Le Caire	Cairo
14	Istanbul	Istanbul
14	La Turquie	Turkey (T…)
14	Serbo-croate	Serbo-Croatian (Adj)
14	Serbe	Serbian (Adj)
14	Hongrois	Hungarian (Adj) (Ho…)
14	Arabe	Arabic (Adj)
14	La Yougoslavie	Yugoslavia
14	Yougoslave	Yugoslavian (Adj)
14	Croate	Croatian (Adj) (Cr…)
14	La Slovénie	Slovenia
14	Bosniaque	Bosniak (Adj)
14	Slovène	Slovenian (Adj)
14	Monténégrin	Montenegrin (Adj)
15	Poser	"To put, place; to pose (a question)"
15	"Le quartier
un quartier
quartier"	"Quarter, district, neighborhood (Q...)
quarter"
15	"L'endroit
un endroit
endroit"	"Place, spot (E...)"
15	"Le père
un père
père"	"Father, dad"
15	Le grand-père	Grandfather
15	Le beau-père	Father-in-law; stepfather
15	"Le café
un café
café"	Coffee; café
15	Tranquille	"Quiet, tranquil (Adj)"
15	Derrière	Behind (Adv and preposition)
15	Le derrière	"Bottom, bum, backside (Der…)"
15	En face de	"Across from, opposite (Preposition) (En fa…)"
15	L'homme	Man
15	En homme	"(chiefly of a trans, non-binary or cross-dressing person) Dressed in masculine clothing (Adv) (En h…)"
15	En femme	"(chiefly of a trans, non-binary or cross-dressing person) Dressed in feminine clothing (Adv) (En f…)"
15	La madame	"Mrs, Madam
Mrs."
15	"La mademoiselle
une mademoiselle
la mademoiselle"	"Miss, young lady
young woman"
15	La place	"Place, square, plaza, piazza; place, space, room"
15	Le centre-ville	City center
15	"Le journaliste
un journaliste
journaliste"	"Journalist, reporter (can be masc or fem)"
15	"L'église
une église
église"	Church
15	La synagogue	Synagogue
15	"Le temple
un temple
temple"	Temple
15	Le templier	Templar
15	Trouver	"To find
find
to find out
find out"
15	"Joli
jolie"	Pretty (Adj)
15	Mignon	"Cute (of a baby, an animal, etc.); cute (sexually attractive) (Adj)"
15	"Le théâtre
un théâtre
théâtre"	"Theatre (venue for performing plays and drama)
theater"
15	"Le restaurant
un restaurant
restaurant"	Restaurant
15	"La restauration
restauration
une restauration"	Restoration
15	Restaurer	"To restore; (reflexive) to dine, to eat
restore"
15	"La banque
une banque
banque"	Bank
15	Le resto	"(colloquial) resto, restaurant"
15	Le bistro	Bistro
15	"Le marché
un marché
marché"	Market
15	L'hypermarché	Hypermarket
15	"Le supermarché
un supermarché
supermarché"	Supermarket
15	Bon marché	"Cheap, inexpensive (Adj) (Bon ma…)"
15	À côté de	Next to (preposition)
15	Simplement	"Simply, just (Adv)"
15	"L'école
une école
école"	School
15	L'écolier	Schoolboy; (historical) (university) student (especially in the Middle Ages) (Éc…)
15	"Le trottoir
un trottoir
trottoir"	"Sidewalk, pavement"
15	Faire le trottoir	(figuratively) to act as a prostitute (Fai…le trot…)
15	"Le lieu
un lieu
lieu"	Place (Li...)
15	"Le cinéma
un cinéma
cinéma"	"Cinema (The art of making movies, the movie industry, or a movie theatre) (C...)"
15	La halle	Hall; covered market or similar building (H…)
15	Les Halles	"Les Halles, Paris's former central fresh food market. It was demolished in 1971 and replaced by the Forum des Halles, a modern shopping mall built largely underground"
15	"La page
une page
page"	Page
15	Retrouver	"(transitive) To go back to, to return to (Retrou...)"
15	"La réponse
une réponse
réponse"	"Answer
response"
15	Donner	"To give
give"
15	Le square	Small public garden in the middle of a square (Sq…)
15	Localiser	To locate (L…)
15	L'aide-mémoire	Memory aid
15	Tout simplement	Quite simply (Tout sim…)
15	Madagascar	Madagascar (DOESN'T GO WITH DEFINITE ARTICLE)
15	En général	"Generally, in general (Adv) (En gé…)"
15	"La campagne
une campagne
campagne"	Countryside (C...)
15	"La banlieue
une banlieue
banlieue"	"Suburbs, inner city
projects
council estate"
15	Normalement	Normally (Adv)
15	"Normal
normale"	Normal (Adj)
15	Pendant	During (Preposition) (P...)
15	"Le centre
un centre
centre"	"Center
center
middle"
15	D'habitude	Usually (Adv) (D'h…)
15	Habituellement	Usually (Adv) (Hab...)
15	L'habitude	Habit
15	Légèrement	"Lightly, gently, softly (Adv) (Lég...)"
15	"Léger
légère"	Light (Adj) (Lég...)
15	Rentrer	"To go back to, to return (Ren...)
go back to
return"
15	Le monde arabe	The Arab World (Le m…)
16	Lis	(First person singular present indicative form of lire)
16	Réaliser	"To perform (activities, task); to realize (make real); to realize (become aware of) (Réa…)"
16	"L'émission
une émission
émission"	"Programme, show; emission"
16	Le sionisme	Zionism
16	Offrir	"To offer
offer"
16	Participer	To participate (in = à) (Par…)
16	Envoyer	"To send
send"
16	"Le concours
un concours
concours"	"Competition; (competitive) exam
competitive exam"
16	Concourir	To compete (Conc…)
16	"Le bulletin
bulletin
un bulletin"	Bulletin; report
16	Tirer	"To pull
pull"
16	"Le tirage
un tirage
tirage"	"Draw, drawing (drawing lots)"
16	Gagner	"To win
win"
16	Adresser	"To address
address"
16	"L'adresse
une adresse
adresse"	"Address (the description of a location); dexterity, skill"
16	E-mail-adresse	E-mail address (E-mail…)
16	"L'invitation
une invitation
invitation"	Invitation
16	Inviter	"To invite
invite"
16	Le nombre	"Number (The word nombre refers to a quantity or a mathematical concept, e.g. a number of items in a set, real numbers, complex numbers, etc.)"
16	Le numéro	"Number (refers to a label made of digits, e.g. a rank, a jersey number, a phone number or a winning lottery number.)"
16	Le numéro de téléphone	Telephone number
16	"L'âge
un âge
âge"	Age
16	"Âgé
âgée"	"Old, elderly (Adj) (Â...)"
16	"Le jeu
un jeu
jeu"	Game; play (at a theatre)
16	Jouer	"To play
play"
16	Les mesdames	(Plural of madame)
16	Les mesdemoiselles	(Plural of mademoiselle)
16	Bientôt	Soon (Adv)
16	Effectuer	"To carry out (Ef...) (Think about to effect change)
carry out
to conduct
conduct"
16	Effectif	"Real, actual (Adj) (Eff…)"
16	Effectivement	Indeed (Adv) (Eff…)
16	En effet	Indeed (THIS DOES NOT TRANSLATE TO IN EFFECT) (ADV) (En eff…)
16	Le finaliste	Finalist (Can be masculine or feminine)
16	Le demi-finaliste	Semi-finalist (can be masculine or feminine)
16	La Gambie	Gambia
16	L'architecture	Architecture
16	Adorer	"To love, to adore; (religion) to worship"
16	"La musique
une musique
musique"	Music
16	"La musique classique
une musique classique
musique classique"	Classical music
16	Musiquer	To make music (Mu…)
16	Le rap	Rap (Music)
16	"Le professeur
un professeur
professeur"	Teacher; professor
16	Fêter	"To celebrate (F...)
celebrate"
16	"La fête
une fête
fête"	"Celebration, party; holiday
party"
16	"Le mari
un mari
mari"	Husband
16	"La femme
femme
une femme"	Woman; wife
16	Marié	Married (Adj) (Ma…)
16	"L'argent
argent"	Money; silver
16	"La passion
une passion
passion"	Passion
16	"Le cyclisme
un cyclisme
cyclisme"	Cycling
16	"Le vélo
un vélo
vélo"	"(usually informal) Bike, bicycle, cycle"
16	La bicyclette	Bicycle
16	Assister	"To assist; (intransitive, followed by à) to attend, to be present
assist"
16	Tunisien	Tunisian (Adj and noun)
16	"La retraite
retraite
une retraite"	Retirement
16	"L'annonce
une annonce
annonce"	Announcement
16	Annoncer	"To announce
announce"
16	En direct	Directly; (idiomatic) live (in real time) (Adv) (En di…)
16	Associer	To associate
16	Environ	"Approximately (Adv)
about
around"
16	"Le groupe
un groupe
groupe"	Group
16	Le groupe de rock	Rock band
16	"La photo
une photo
photo"	Photo
16	"La photographie
une photographie
photographie"	Photography
16	Chaque	"Each, every"
16	"Le candidat
un candidat
candidat"	"Candidate
applicant"
16	"L'étranger
un étranger
étranger"	Foreigner
16	"Étranger
étrangére"	Foreign (Adj)
16	Le Louvre	The Louvre
16	La préposition	(Grammar) Preposition
16	Les noms de pays	The names of countries
16	Les États-Unis d'Amérique	The United States of America
16	La voyelle	Vowel
16	La consonne	Consonant
16	La semi-voyelle	Semivowel
16	Choisir	"To choose
choose"
16	"Le monument
un monument
monument"	Monument
16	Deviner	"To guess; to work out, figure out; to sense, perceive (Dev…)"
16	Devoir	"To have to (D...)
have to"
16	"Les devoirs
devoirs
des devoirs"	"Homework
schoolwork"
16	Lire	"To read; (reflexive, se lire) to be read
read"
16	Écrire	"To write
write
to write down
write down"
16	Suivant	"Next, following (Adj) (Sui...)"
16	"Prochain
prochaine"	"Next, following (Adj) (Pr...)"
16	Suivre	"To follow (S...)
follow"
16	"La culture
une culture
culture"	Culture
16	"Culturel
culturelle"	Cultural (Adj)
16	"Polonais
polonaise"	Polish (Noun and adj)
16	La cafétéria	Cafeteria
16	"Content
contente"	"Glad, happy (Adj)"
16	"Mécontent
mécontente"	Discontented (Adj)
16	"Le bébé
un bébé
bébé"	Baby
16	Personnellement	Personally (Adv)
17	La baguette	"Stick, rod, any long thin object; (food) baguette, French stick; chopstick; (music) drumstick; wand (magic wand); (Louisiana) barrel of a gun"
17	Quelque	Some (Pronoun)
17	"La carte
une carte
carte"	Map; card
17	Dire	"To say
say"
17	Le trèfle	Clover
17	L'Irlande	Ireland
17	"L'île
une île
île"	"Island, isle"
17	"Le voisinage
un voisinage
voisinage"	"Neighbourhood
neighborhood
neighbours
neighbors"
17	"Le voisin
un voisin
voisin"	"Neighbor (male)
neighbor"
17	Le flamenco	Flamenco
17	L'Espagne	Spain
17	"Le parfum
un parfum
parfum"	Perfume
17	Le Royaume-Uni	The United Kingdom
17	Les spaghettis	Spaghetti
17	L'acropole d'Athènes	The Acropolis of Athens
17	Athènes	Athens (I think this doesn't go with a definite article)
17	"Le kilomètre
un kilomètre
kilomètre"	Kilometer
17	"Le mètre
un mètre
mètre"	Meter
17	"La distance
une distance
distance"	Distance
17	"Le chiffre
un chiffre
chiffre"	"Number, numeral, character, figure (Ch...)"
17	Entre	Between; among (Preposition)
17	Varsovie	Warsaw
17	"L'habitant
un habitant
habitant"	Inhabitant
17	"La région
région
une région"	Region
17	"Superficiel
superficielle"	Superficial (Adj)
17	La superficie	Area (amount of 2-dimensional space); surface
17	"Le symbole
un symbole
symbole"	Symbol
17	Symbolique	Symbolic (Adj)
17	Le salaire minimum	Minimum wage
17	"Le texte
un texte
texte"	Text
17	L'an	Year (short version)
17	"L'expérience
une expérience
expérience"	"Experience; experiment, trial, test"
17	Même	Same (Adj)
17	Car	"As, since, because, for (Conjunction) (Ca…)"
17	"Le frère
un frère
frère"	Brother
17	"L'enfant
un enfant
enfant"	Child
17	"Le perroquet
un perroquet
perroquet"	Parrot
